Section,Part,Nominal material,Qty,Cut length,Acceptance notes
Skids,Left/right skids,4x6 PT,2,120 in,Bevel tow/front ends.
Base,Long side perimeter rails,2x6 PT,2,120 in,Outside base length.
Base,Front/rear perimeter rails,2x6 PT,2,117 in,Fit between long side rails for 120 in outside width.
Base,Base cross ties,2x6 PT,3,117 in,"Place near 48, 72, and 96 in from front."
Posts,Front lower-run posts,4x4 PT,3,48 in,"Front left, center, right."
Posts,Coop-front/high posts,4x4 PT,3,96 in,48 in lower run + 48 in high coop wall.
Posts,Rear/low posts,4x4 PT,3,88 in,48 in lower run + 40 in low coop wall.
Lower run,Side top/bottom rails,2x4,8,Field cut,Use between post lines; keep square.
Lower run,Front access door stiles,2x4,2,42 in,Use hardware cloth infill.
Lower run,Front access door rails,2x4,2,30 in,Use two-step latch.
Lower run,Diagonal braces,2x4,8,Field cut,Install before moving frame.
Coop floor,Front/rear floor rims,2x6,2,120 in,4 ft x 10 ft floor frame.
Coop floor,End rims and joists,2x6,9,45 in,Approx. 16 in O.C.
Coop floor,Floor plywood main,3/4 in ply,1,48 in x 96 in,Support all edges.
Coop floor,Floor plywood filler,3/4 in ply,1,48 in x 24 in,Complete 4 ft x 10 ft floor.
Coop walls,Front wall plates,2x4,2,120 in,High side.
Coop walls,Front wall studs,2x4,7,45 in,Adjust for openings.
Coop walls,Rear wall plates,2x4,2,120 in,Low side.
Coop walls,Rear wall studs,2x4,7,37 in,Adjust for openings.
Coop walls,End wall framing,2x4,Assorted,Field cut,Slope from 48 in high side to 40 in low side.
Roof,Rafters,2x4,7,60 in,Run front-to-back with overhang.
Roof,Purlins,1x4/2x4,4,132 in,Run side-to-side.
Roof,Roof panels,Corrugated,4,72 in,Overlap per manufacturer.
Doors,Rear cleanout door frames,2x4,2 sets,Field cut,Two rear doors approx. 54 in x 34 in.
Doors,Pop door,1/2 in ply,1,12 in x 14 in,Predator latch required.
Ramp,Ramp deck,1/2 in ply,1,14 in x 60 in,Cleats every 6 in; hinge at pop door.
Nest boxes,Nest dividers/fronts,1/2 in ply,3 boxes,Field cut,Each box approx. 12 in W x 12 in H x 14 in D.
Roosts,Removable roost bars,2x3/2x4,2,60-72 in,Total 10-12 linear ft for 10-12 hens.
