Section,Part,Nominal material,Qty,Cut length,Notes
Skids,Left/right skids,4x6 PT,2,120 in,Bevel front 8-12 in. Optional UHMW/skid shoes.
Base,Long side perimeter rails,2x6 PT,2,120 in,Outside base length.
Base,Front/rear perimeter rails,2x6 PT,2,117 in,Fit between long side rails for 120 in outside width.
Base,Base cross ties,2x6 PT,3,117 in,"Place near 48 in, 72 in, and 96 in from front."
Posts,Front lower-run posts,4x4 PT,3,48 in,"At front left, center, right."
Posts,Upper coop front posts,4x4 PT,3,96 in,At 72 in from front; high roof side.
Posts,Rear upper coop posts,4x4 PT,3,88 in,At rear; low roof side.
Lower run,Lower side top/bottom rails,2x4,8,Approx. 57 in,Build side panels between post lines; field-fit.
Lower run,Front door frame rails,2x4,2,30 in,30 in x 42 in access door.
Lower run,Front door frame stiles,2x4,2,42 in,Use hardware cloth infill.
Lower run,Diagonal braces,2x4,8,Field cut,Install at corners and coop support line.
Coop floor,Front/rear floor rims,2x6,2,120 in,4 ft x 10 ft floor frame.
Coop floor,End rims and floor joists,2x6,9,45 in,Joists at approx. 16 in O.C. across 10 ft width.
Coop floor,Floor plywood main piece,3/4 in ply,1,48 in x 96 in,Install over floor frame.
Coop floor,Floor plywood filler,3/4 in ply,1,48 in x 24 in,Complete 4 ft x 10 ft floor.
Coop walls,Front wall plates,2x4,2,120 in,"Upper coop front wall, 48 in tall."
Coop walls,Front wall studs,2x4,7,45 in,Adjust for window/pop-door openings.
Coop walls,Rear wall plates,2x4,2,120 in,"Upper coop rear wall, 40 in tall."
Coop walls,Rear wall studs,2x4,7,37 in,Adjust for cleanout doors/egg hatch.
Coop walls,End wall plates/studs,2x4,Assorted,Field cut,Slope from 48 in front to 40 in rear.
Roof,Rafters,2x4,7,60 in,Run front-to-back; includes overhang.
Roof,Purlins,1x4 or 2x4,4,132 in,Run side-to-side; use 12 ft boards cut to fit.
Roof,Roof panels,Corrugated,4,72 in,Overlap per manufacturer.
Doors,Rear cleanout door frames,2x4,2 sets,Field cut,Two rear doors approx. 54 in wide x 34 in tall.
Doors,Pop door,1/2 in ply,1,12 in x 14 in,Sliding or hinged; predator latch.
Ramp,Ramp deck,1/2 in ply,1,14 in x 60 in,Cleats every 6 in; hinge at pop door.
Nest boxes,Nest dividers/fronts,1/2 in ply,3 boxes,Field cut,Each box approx. 12 in W x 12 in H x 14 in D.
Roosts,Removable roost bars,2x3/2x4,2,60-72 in,Total 10-12 linear ft for 10-12 hens.
