Category,Item,Qty,Notes
Ground/contact,"4x6 pressure-treated skids, 10 ft",2,Bevel front ends; keep skids parallel and square.
Ground/contact,"2x6 pressure-treated lumber, 10 ft",8,"Base perimeter, cross ties, upper coop floor rims; buy extra for errors."
Posts,"4x4 pressure-treated posts, 8 ft",6,"Cut to 96 in, 88 in, and 48 in post groups."
Framing,"2x4 exterior/treated lumber, 8 ft",28-34,"Lower run rails, upper coop walls, braces, rafters, doors, ramp."
Roof,"1x4 or 2x4 purlins, 12 ft",4,Run side-to-side under corrugated roofing.
Sheet goods,"3/4 in exterior plywood, 4 ft x 8 ft",2,Upper coop floor.
Sheet goods,"1/2 in exterior plywood or T1-11, 4 ft x 8 ft",5,"Upper coop walls, doors, shutters, nest access hatch."
Wire,"1/2 in 19-ga galvanized hardware cloth, 48 in x 100 ft",1 roll,"Run walls, open run roof, vents, optional apron. Do not use chicken wire for predators."
Roofing,"Corrugated roofing panels, approx. 36 in x 72 in",4,Metal/polycarbonate/bitumen; adjust count for actual panel width and overlap.
Mobility,"20 in pneumatic wheels, 600 lb+ rating",2,Use higher rating for rough ground. Verify total load.
Mobility,3/4 in axle rod or two spindle/hub assemblies,1 set,"Use washers, collars, cotter pins, and brackets suited to wheel type."
Mobility,"Tow tongue parts: 4x4 or steel tongue, tow ring, chain",1 set,"Tow with ATV, UTV, garden tractor, or compact tractor."
Fasteners,3 in exterior structural screws,2 boxes,Framing connections; predrill near ends.
Fasteners,1-5/8 in exterior screws,1 box,Plywood and siding.
Fasteners,1-1/4 in lath screws + fender washers,1 box each,Hardware cloth attachment.
Fasteners,"5/16 in or 3/8 in galvanized bolts, washers, lock nuts",Assorted,"Wheel mounts, tow tongue, heavy hinges where needed."
Hardware,Heavy strap hinges,8-12,"Doors, cleanout panels, nest hatch."
Hardware,Predator-resistant latches/carabiners,8-10,Use two-step latches on exterior doors.
Interior,"Nest boxes, removable roost bars, feeders/waterers",As needed,Layer mode uses nests/roosts; broiler mode removes roosts.
Finish,"Exterior paint/stain, caulk, roofing screws, drip edge",As needed,"Seal cut ends, plywood edges, and roof penetrations."
